"Category ","Action ",Deliverable,End date,Notes,Owner,Priority,Status,Task
"Recruitment process ","Training of Interviewers ",,"September 20, 2025",Date to be set,Amelie Lyon,P1,Completed,Recruitment Process
Campaign #2 structure,Linkedin Campaign annoucement #2,,"September 10, 2025",,Bertrand Galas,P1,Completed,"Launch campain "
,,,,,,,,
Other campaign requirements,Update terms and conditions website + check Flatchr notice,,"September 19, 2025",,Bertrand Galas,P1,Completed,GDPR
"Recruitment process ","Determine which best AI tool for note taking (Sana, Granola, Notion ?)",,"September 17, 2025",,Amelie Lyon,P1,Completed,Note taking
"Recruitment process ","Create email template for all stages ",https://www.notion.so/27236d8dca8881fab0e8d620acd0ab3d?pvs=21,"September 15, 2025","Acknowledgement of receipt, go / no-go etc... ok, misses specific message for silver medalists
Need to check how to consolidate calendly agendas",Amelie Lyon,P2,Completed,Flatchr
"Application Reception and Screening ",Daily reviews from team,,,,,P3,Completed,"Application reception  &screening "
"Recruitment process ","Ensure availabiity of interviewers ",,"September 11, 2025",Option A: Founders + Angels + ICP 2.0    ; Option B: Founders + Angels + Martin (tough on slot),Amelie Lyon,P1,Completed,Recruitment Process
Campaign #2 structure,Find app / process to organize group interviews,,"September 19, 2025",Calendly,Bertrand Galas,P2,In progress,Calendar interview
Recruitment output,Candidate file design and test,,"October 5, 2025","Need to elaborate ",Amelie Lyon,P2,In progress,Design partners’ output
"Decision, Feedback and Onboarding ",Short-list committee,,"October 15, 2025",,,P3,Completed,"Application decision "
Campaign #2 structure,Update columns kanban,,"September 12, 2025",,Amelie Lyon,P2,Completed,Flatchr set-up
"Interview and Asssement ",Schedule  Bcase + Panel Slots with 2 finalists,,,,,P1,Not started,Case 1
"Recruitment process ",Test and check offer and all process,,"September 21, 2025","Configure form ; detail offer ; configure distribution (Linkedin, jobboards...)",Bertrand Galas,P1,Completed,Recruitment Process
"Recruitment process ",Application gathering (FlatchR) / Revision of scoring,,,"Need manual input on a daily basis :
-check scoring obtained
-report scoring and ""move"" candidate accordingly",,P1,Completed,Recruitment Process
Grow audience,Linkedin Campaign annoucement #1,6. LinkedIn 5th post - Campaign launch,"September 3, 2025",,Bertrand Galas,P1,Completed,"Launch campain "
Spontaneous application,,,,,Bertrand Galas,P1,In progress,Process proposal
Grow audience,"Find a campaign sponsor ",,"September 21, 2025","A ""public person""
Need to define sponsor role so we can ""sell"" the idea
eg Laurent Moisson (FFI), Martial Le Terrier, G. De Chillaz ? 
Role: coaching, support, whatsapp ",Bertrand Galas,P1,Completed,Launch campaign
Campaign #2 structure,Design infrastructure / Map overall process flow,,"September 7, 2025",Map process and list automation requirements to speed up campaign execution and efficiency,Bertrand Galas,P1,Completed,Automation / Flatchr +
"Prepartion Operations & Tools ",Monitoring tools: How we extarct KPI from campaign / dashboard,,"October 2, 2025",,Ignacio Campos,P2,In progress,Preparation& ops tools
,,,,,,,,
Campaign #2 structure,Configure automated messages based on Kanban columns,,"September 19, 2025",Application review = accusé de réception ; A recevoir = mail invitation HR…,Amelie Lyon,P1,Completed,Mailing automation
"Interview and Asssement ","Prepare template for BC minutes ",,,,,P1,Not started,
"Interview and Asssement ",Finance and entrepreneurship,,,,,P3,Not started,"2nd interview "
,,,,,,,,
Candidates ‘ management,Determine Partners’ support pathway and monetization ways for each candidate,,,"How we manage and collect all relevant info from candidates, make informed decision, connect candidates with relevant partners, and follow up on our actions",,P1,,Output of scoring and notes from interviews
"Recruitment process ","Evaluation Grid for interviews ",,"September 11, 2025",To be reviewed BGA,Amelie Lyon,P1,Completed,Recruitment Process
Campaign #2 structure,Grant Renew team with Flatchr access,"Tomas, Fabio, Alex, Gabriele","September 15, 2025",,Bertrand Galas,P2,Completed,Flatchr
"Interview and Asssement ",Prepare document and instruction on the BC for candidates,,,,,P1,Not started,Case 2
"Interview and Asssement ","Leadership and Project ",,,,,P3,In progress,1st Interview
Grow audience,Linkedin post opening #3,,"September 17, 2025",,Bertrand Galas,P1,Completed,"Launch campain "
Campaign #2 structure,Create campaign #2 offer in Flatchr,With support from Naxo on the formAmelie on Kanban + automated messages,"September 15, 2025",,Amelie Lyon,P1,Completed,Create campaign offer
Grow audience,Communication campaign program,,"September 2, 2025","Need to have the plan for Tuesday 2nd Sept
1) wc 09/01 give update on Re-New + explain that we launch a new selection campaign on 22nd 
2) wc 09/08
3) wc 09/15 
4) 09/22 => LAUNCH !",Amelie Lyon,P1,Completed,"Launch campain "
Campaign #2 structure,"Automation configuration ",,"September 15, 2025",Need to be ready before campaign,Ignacio Campos,P1,Completed,Automation / Flatchr +
"Application Reception and Screening ",Send email post screening,,,,,P3,Not started,"Feedback to applicants "
"Recruitment process ",Validate stages and rounds + outcomes,https://www.notion.so/27236d8dca8881e59485deaec570dc20?pvs=21,"September 9, 2025",,Amelie Lyon,P0,Completed,Recruitment Process
"Application Reception and Screening ","Notes for each applicants to be shared ",,,,,P3,Completed,"Application screening "
"Communication and Marketing Campaign ","Finalise Application Form questions ",https://www.notion.so/27236d8dca888198b319ca954bd342a3?pvs=21,"September 4, 2025",Validated during 08/29 weekly call,Amelie Lyon,P1,Completed,Com&Marketing campaign
Campaign #2 structure,Automation testing,,"September 17, 2025",Need to be ready before campaign,Ignacio Campos,P1,Completed,Automation / Flatchr +
,,,,,,,,
,,,,,,,,
